ID_GRUPO;Descricao;ID_ALIMENTO;Alimento
 1,0;Cereais e derivados; 2,0;Arroz, integral, cru
 1,0;Cereais e derivados; 4,0;Arroz, tipo 1, cru
 1,0;Cereais e derivados; 6,0;Arroz, tipo 2, cru
 1,0;Cereais e derivados; 8,0;Biscoito, doce, maisena
 1,0;Cereais e derivados; 10,0;Biscoito, doce, recheado com morango
 1,0;Cereais e derivados; 12,0;Biscoito, doce, wafer, recheado de morango
 1,0;Cereais e derivados; 14,0;Bolo, mistura para
 1,0;Cereais e derivados; 16,0;Bolo, pronto, chocolate
 1,0;Cereais e derivados; 18,0;Bolo, pronto, milho
 1,0;Cereais e derivados; 20,0;Canjica, com leite integral
 1,0;Cereais e derivados; 22,0;Cereais, milho, flocos, sem sal
 1,0;Cereais e derivados; 24,0;Cereais, mistura para vitamina, trigo, cevada e aveia
 1,0;Cereais e derivados; 26,0;Cereal matinal, milho, açúcar
 1,0;Cereais e derivados; 28,0;Creme de milho, pó
 1,0;Cereais e derivados; 30,0;Curau, milho verde, mistura para
 1,0;Cereais e derivados; 32,0;Farinha, de centeio, integral
 1,0;Cereais e derivados; 34,0;Farinha, de rosca
 1,0;Cereais e derivados; 36,0;Farinha, láctea, de cereais
 1,0;Cereais e derivados; 38,0;Lasanha, massa fresca, crua
 1,0;Cereais e derivados; 40,0;Milho, fubá, cru
 1,0;Cereais e derivados; 42,0;Milho, verde, enlatado, drenado
 1,0;Cereais e derivados; 44,0;Pamonha, barra para cozimento, pré-cozida
 1,0;Cereais e derivados; 46,0;Pão, de soja
 1,0;Cereais e derivados; 48,0;Pão, milho, forma
 1,0;Cereais e derivados; 50,0;Pão, trigo, francês
 1,0;Cereais e derivados; 52,0;Pastel, de carne, cru
 1,0;Cereais e derivados; 54,0;Pastel, massa, crua
 1,0;Cereais e derivados; 56,0;Pipoca, com óleo de soja, sem sal
 2,0;Verduras, hortaliças e derivados; 58,0;Abóbora, cabotian, cozida
 2,0;Verduras, hortaliças e derivados; 60,0;Abóbora, moranga, refogada
 2,0;Verduras, hortaliças e derivados; 62,0;Abobrinha, italiana, refogada
 2,0;Verduras, hortaliças e derivados; 64,0;Almeirão, refogado
 2,0;Verduras, hortaliças e derivados; 66,0;Batata, inglesa, frita
 2,0;Verduras, hortaliças e derivados; 68,0;Biscoito, polvilho doce
 2,0;Verduras, hortaliças e derivados; 70,0;Brócolis, cru
 2,0;Verduras, hortaliças e derivados; 72,0;Catalonha, crua
 2,0;Verduras, hortaliças e derivados; 74,0;Cenoura, cozida
 2,0;Verduras, hortaliças e derivados; 76,0;Couve, manteiga, refogada 
 2,0;Verduras, hortaliças e derivados; 78,0;Espinafre, Nova Zelândia, refogado
 2,0;Verduras, hortaliças e derivados; 80,0;Farinha, de mandioca, torrada
 2,0;Verduras, hortaliças e derivados; 82,0;Inhame, cru
 2,0;Verduras, hortaliças e derivados; 84,0;Jurubeba, crua
 2,0;Verduras, hortaliças e derivados; 86,0;Mandioca, crua
 2,0;Verduras, hortaliças e derivados; 88,0;Mandioca, frita
 2,0;Verduras, hortaliças e derivados; 90,0;Nhoque, batata, cozido
 2,0;Verduras, hortaliças e derivados; 92,0;Pão, de queijo, cru
 3,0;Frutos e derivados; 94,0;Salsa, crua
 3,0;Frutos e derivados; 96,0;Abiu, cru
 3,0;Frutos e derivados; 98,0;Açaí, polpa, congelada
 3,0;Frutos e derivados; 100,0;Atemóia, crua
 3,0;Frutos e derivados; 102,0;Cupuaçu, cru
 3,0;Frutos e derivados; 104,0;Fruta-pão, crua
